SA,SRR,ORIG,REP,T
sa1,SRR7133835,X12,7.0,12
sa2,SRR7133836,X5,7.0,12
sa3,SRR7133837,X6,7.0,12
sa4,SRR7133838,X7,7.0,12
sa5,SRR7133839,X8,7.0,12
sa6,SRR7133840,X1,8.0,12
sa7,SRR7133841,X2,8.0,12
sa8,SRR7133842,X12,4.0,1
sa9,SRR7133843,X6,2.0,3
sa10,SRR7133844,X8,4.0,1
sa11,SRR7133845,X9,4.0,1
sa12,SRR7133846,X10,4.0,1
sa13,SRR7133847,X11,4.0,1
sa14,SRR7133848,X3,4.0,1
sa15,SRR7133849,X4,4.0,1
sa16,SRR7133850,X5,4.0,1
sa17,SRR7133851,X7,4.0,1
sa18,SRR7133853,X2,6.0,10
sa19,SRR7133854,X2,6.0,9
sa20,SRR7133855,X6,2.0,2
sa21,SRR7133856,X2,6.0,2
sa22,SRR7133857,X2,6.0,1
sa23,SRR7133858,X2,6.0,4
sa24,SRR7133859,X2,6.0,3
sa25,SRR7133860,X2,6.0,6
sa26,SRR7133861,X2,6.0,5
sa27,SRR7133862,X2,6.0,8
sa28,SRR7133863,X2,6.0,7
sa29,SRR7133864,X6,2.0,4
sa30,SRR7133867,X6,2.0,5
sa31,SRR7133872,X6,1.0,10
sa32,SRR7133876,X6,1.0,11
sa33,SRR7133877,X6,7.0,11
sa34,SRR7133878,X6,2.0,1
sa35,SRR7133879,X2,2.0,4
sa36,SRR7133880,X2,2.0,5
sa37,SRR7133881,X2,7.0,11
sa38,SRR7133882,X2,2.0,1
sa39,SRR7133883,X2,2.0,2
sa40,SRR7133884,X2,2.0,3
sa41,SRR7133885,X2,1.0,8
sa42,SRR7133886,X2,1.0,9
sa43,SRR7133887,X2,1.0,10
sa44,SRR7133888,X2,1.0,11
sa45,SRR7133889,X6,5.0,1
sa46,SRR7133890,X6,4.0,11
sa47,SRR7133891,X6,4.0,6
sa48,SRR7133894,X6,4.0,5
sa49,SRR7133900,X6,4.0,8
sa50,SRR7133901,X6,4.0,7
sa51,SRR7133903,X9,4.0,3
sa52,SRR7133904,X9,4.0,12
sa53,SRR7133905,X10,4.0,12
sa54,SRR7133906,X8,4.0,3
sa55,SRR7133907,X7,4.0,6
sa56,SRR7133908,X10,4.0,6
sa57,SRR7133909,X9,4.0,6
